Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,Otwarcie_brk-a_us_d,Najwyzszy_brk-a_us_d,Najnizszy_brk-a_us_d,Zamkniecie_brk-a_us_d,Wolumen_brk-a_us_d,Otwarcie_xom_us_d,Najwyzszy_xom_us_d,Najnizszy_xom_us_d,Zamkniecie_xom_us_d,Wolumen_xom_us_d,Otwarcie_pfe_us_d,Najwyzszy_pfe_us_d,Najnizszy_pfe_us_d,Zamkniecie_pfe_us_d,Wolumen_pfe_us_d,Otwarcie_^spx_d,Najwyzszy_^spx_d,Najnizszy_^spx_d,Zamkniecie_^spx_d,Wolumen_^spx_d,Otwarcie_tsla_us_d,Najwyzszy_tsla_us_d,Najnizszy_tsla_us_d,Zamkniecie_tsla_us_d,Wolumen_tsla_us_d,Otwarcie_ibm_us_d,Najwyzszy_ibm_us_d,Najnizszy_ibm_us_d,Zamkniecie_ibm_us_d,Wolumen_ibm_us_d,Otwarcie_msft_us_d,Najwyzszy_msft_us_d,Najnizszy_msft_us_d,Zamkniecie_msft_us_d,Wolumen_msft_us_d,Otwarcie_aapl_us_d,Najwyzszy_aapl_us_d,Najnizszy_aapl_us_d,Zamkniecie_aapl_us_d,Wolumen_aapl_us_d,Otwarcie_t_us_d,Najwyzszy_t_us_d,Najnizszy_t_us_d,Zamkniecie_t_us_d,Wolumen_t_us_d,Otwarcie_ms_us_d,Najwyzszy_ms_us_d,Najnizszy_ms_us_d,Zamkniecie_ms_us_d,Wolumen_ms_us_d
2010-06-28,41.822,42.375,41.6807,42.1338,22314815.244668,121600.0,121999.0,121200.0,121200.0,1750.0,36.9106,36.962,36.3893,36.3893,69060467.710102,9.58539,9.63516,9.45851,9.48779,68374592.965155,1077.5,1082.6,1071.45,1074.57,2164672222.0,1.13333,1.13333,1.13333,1.13333,,83.8727,85.0633,83.6053,84.7383,9629499.4631729,19.2506,19.338,18.9539,19.1008,93805195.230357,8.12771,8.21225,8.05234,8.16819,686016901.22552,9.13427,9.24478,9.12475,9.16134,59485121.592817,19.7592,19.7906,19.2844,19.3688,16297401.988452
2010-06-29,41.8778,42.1122,41.5896,41.9837,28542879.158708,120300.0,121950.0,119405.0,120199.0,1602.0,36.0956,36.151,35.4722,35.6551,84397284.651258,9.40972,9.4468,9.25347,9.31701,99377149.690552,1071.1,1071.1,1035.18,1041.24,3409277778.0,1.26667,1.66667,1.16933,1.59267,281749140.0,83.6784,84.3772,81.5442,82.1873,14218801.817196,18.939,19.0164,18.1576,18.3145,152259197.01646,8.04845,8.04845,7.74129,7.79871,1327047210.9918,9.12768,9.14158,8.90812,8.97911,143964043.01102,18.9743,18.991,18.3807,18.5249,28985647.772723
2010-06-30,41.8454,42.2485,41.7719,41.8611,22296382.645263,119530.0,121102.0,119085.0,120000.0,1224.0,35.6784,35.9234,35.4245,35.5159,70587697.622075,9.277,9.44583,9.24284,9.30334,77645956.019355,1040.56,1048.08,1028.33,1030.71,2815044444.0,1.71933,2.028,1.55333,1.58867,257915910.0,82.032,82.2712,80.8064,81.1381,12201519.188503,18.2698,18.6094,18.0326,18.0802,103062331.61633,7.81557,7.85364,7.61188,7.65745,866038589.11202,8.9396,8.97253,8.85177,8.87885,101319627.75726,18.5357,18.7958,18.2837,18.3405,25027390.01968
2010-07-01,41.8592,41.9926,41.567,41.8651,25350093.115146,119394.0,119499.0,116975.0,118095.0,1428.0,35.4605,35.6434,34.9577,35.232,76717604.276461,9.32384,9.35019,9.13168,9.28383,104011403.3185,1031.1,1033.58,1010.91,1027.37,3575427778.0,1.66667,1.728,1.35133,1.464,123447945.0,81.3801,81.6027,79.9007,80.5458,14813111.75855,18.1428,18.3235,17.8589,18.1964,117352273.72297,7.73601,7.75694,7.40462,7.56522,1199106799.064,8.90447,8.9557,8.80932,8.93521,139441814.32348,18.3366,18.4651,17.695,18.2395,27613491.068372
2010-07-02,42.1122,42.2328,41.7101,41.871,14857318.568554,118000.0,118703.0,115037.0,115500.0,786.0,35.3808,35.4673,34.8157,35.2057,52631034.923472,9.32384,9.36873,9.20078,9.22342,62408017.715167,1027.65,1032.95,1015.93,1022.58,2204722222.0,1.53333,1.54,1.24733,1.28,77127105.0,81.0084,81.0084,79.2477,80.0558,9809116.322207,18.3145,18.4485,18.114,18.2848,79518658.762405,7.63162,7.6388,7.40392,7.51747,813946581.51914,8.96374,8.96741,8.84738,8.91398,63206310.44947,18.4151,18.4407,17.8854,18.0364,15095030.454076
2010-07-06,42.172,42.2408,41.5817,41.871,21795258.840609,116700.0,118306.0,115165.0,116505.0,892.0,35.5811,35.8408,35.3302,35.76,59291458.346324,9.35019,9.40288,9.22342,9.32384,110232884.44116,1028.09,1042.5,1018.35,1028.06,2606244444.0,1.33333,1.33333,1.05533,1.074,103189440.0,81.2768,81.9003,80.2715,81.1225,9634556.2210361,18.6372,18.9301,18.528,18.7177,93630139.760685,7.51747,7.69672,7.49484,7.56991,720822723.59173,8.98277,8.99521,8.87958,8.96081,98055401.787462,18.3631,18.4995,17.9412,18.1463,15464375.756567
2010-07-07,42.0494,43.0193,41.8367,42.9555,24378846.250167,116350.0,119899.0,115895.0,119889.0,884.0,35.7037,36.3747,35.6366,36.3621,67110475.580563,9.3375,9.54342,9.26508,9.53757,82973226.951275,1028.54,1060.89,1028.54,1060.27,2739566667.0,1.09333,1.10867,0.998667,1.05333,103873710.0,81.4055,83.5379,81.1313,83.454,10730523.183886,18.7177,19.1078,18.5528,19.0929,104226397.2545,7.62962,7.87737,7.60321,7.87388,765745963.40246,8.96741,9.11304,8.9191,9.08743,85138173.356718,18.2395,18.9832,18.2169,18.9174,20060635.367685
2010-07-08,43.1821,43.7499,42.9802,43.5008,22314497.0896,119474.0,119890.0,118100.0,118900.0,1196.0,36.7997,36.8424,36.1783,36.5993,64957054.474266,9.64393,9.77373,9.53757,9.67224,91589471.717062,1062.92,1071.25,1058.24,1070.25,2526922222.0,1.076,1.168,1.038,1.164,115793085.0,83.6862,84.2006,83.2627,84.0669,8251475.0515015,19.0929,19.347,18.8357,19.1812,64595981.018186,7.99352,8.00328,7.75963,7.85764,864695113.68583,9.10938,9.18037,9.03986,9.17745,62725219.791012,19.1794,19.3148,18.8497,19.1176,18878004.066758
2010-07-09,43.2106,43.2831,42.7928,42.9066,17102057.573927,118500.0,119750.0,118350.0,119700.0,672.0,36.5945,36.7248,36.2803,36.5798,41737438.71933,9.69078,9.69663,9.54342,9.63516,49963719.28002,1070.5,1078.16,1068.1,1077.96,1948094444.0,1.172,1.19333,1.10333,1.16,60879090.0,84.0317,84.2426,83.6365,84.0581,5932556.5601087,19.1812,19.1812,18.9747,19.0691,68470213.838869,7.82065,7.91246,7.7688,7.90399,508030678.06212,9.18915,9.29746,9.17305,9.27478,52557268.813839,19.046,19.5424,18.991,19.513,12915826.712871
2010-07-12,42.8653,42.9066,42.5664,42.6722,15218552.03703,119025.0,119659.0,118000.0,119205.0,512.0,36.2745,36.68,36.221,36.68,37798864.48639,9.6088,9.74836,9.58539,9.74348,58801829.961265,1077.23,1080.78,1070.45,1078.75,1903883333.0,1.19667,1.20467,1.13333,1.13667,33053550.0,83.6862,84.6466,83.5613,84.5471,6406824.0906872,19.205,19.5585,19.1872,19.5078,63454039.440424,7.87049,7.97169,7.75863,7.83321,659250729.94403,9.24404,9.28429,9.18915,9.27478,46410518.822171,19.4522,19.4894,19.1088,19.403,9984742.9919313
