,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,Otwarcie_brk-a_us_d,Najwyzszy_brk-a_us_d,Najnizszy_brk-a_us_d,Zamkniecie_brk-a_us_d,Wolumen_brk-a_us_d,Otwarcie_xom_us_d,Najwyzszy_xom_us_d,Najnizszy_xom_us_d,Zamkniecie_xom_us_d,Wolumen_xom_us_d,Otwarcie_pfe_us_d,Najwyzszy_pfe_us_d,Najnizszy_pfe_us_d,Zamkniecie_pfe_us_d,Wolumen_pfe_us_d,Otwarcie_^spx_d,Najwyzszy_^spx_d,Najnizszy_^spx_d,Zamkniecie_^spx_d,Wolumen_^spx_d,Otwarcie_tsla_us_d,Najwyzszy_tsla_us_d,Najnizszy_tsla_us_d,Zamkniecie_tsla_us_d,Wolumen_tsla_us_d,Otwarcie_ibm_us_d,Najwyzszy_ibm_us_d,Najnizszy_ibm_us_d,Zamkniecie_ibm_us_d,Wolumen_ibm_us_d,Otwarcie_msft_us_d,Najwyzszy_msft_us_d,Najnizszy_msft_us_d,Zamkniecie_msft_us_d,Wolumen_msft_us_d,Otwarcie_aapl_us_d,Najwyzszy_aapl_us_d,Najnizszy_aapl_us_d,Zamkniecie_aapl_us_d,Wolumen_aapl_us_d,Otwarcie_t_us_d,Najwyzszy_t_us_d,Najnizszy_t_us_d,Zamkniecie_t_us_d,Wolumen_t_us_d,Otwarcie_ms_us_d,Najwyzszy_ms_us_d,Najnizszy_ms_us_d,Zamkniecie_ms_us_d,Wolumen_ms_us_d
Otwarcie,1.0,0.999845482292074,0.9997866397112661,0.9992321575643897,-0.4946461119730294,0.9755274351653359,0.9754838855056056,0.9757709915642443,0.9755660864177961,0.5157437512971387,0.41636952349722733,0.4242071514504851,0.4085068422551544,0.41545490693230647,-0.10901194115451782,0.9582072034796513,0.9573694868123023,0.9584648252373817,0.9576399199943587,-0.4508982160326352,0.9714707231921238,0.9717164646229155,0.9710822592483567,0.9713427126502592,0.19761072254895024,0.7731629330268278,0.7732358951620759,0.7732395081937136,0.7732806812094797,0.3742219984832438,0.16543901650386272,0.17280715609423047,0.15467126415149848,0.16281071423652788,-0.20911542802640481,0.915436958615139,0.9154047210376987,0.9154871896400795,0.915397045536917,-0.5290078203125533,0.8926240379954875,0.8924264159508895,0.8929824827982832,0.8926561533900145,-0.7126614970106132,0.7204440335203295,0.7249079572061158,0.7156493516285298,0.7193933999262587,-0.12927154455112305,0.9051365402691334,0.9054607299267916,0.9050990819496358,0.9052165915189394,-0.5250124739042897
Najwyzszy,0.999845482292074,1.0,0.9997333910115656,0.9994052086852412,-0.49125562985106663,0.9754231593389324,0.9754861409295749,0.9756593920000657,0.9755593498127737,0.5163487355695598,0.41462216082796277,0.42259648469604866,0.40669207475986224,0.41378248315005633,-0.1049192587100445,0.9579663417394635,0.9573286259646985,0.9582717042393823,0.9576039406152252,-0.44936369394006165,0.9712172408139967,0.9715628773493631,0.9707952048862153,0.9711571584690868,0.20222742395207083,0.7732805838894832,0.7733434456351683,0.7733054117992633,0.7733655889485085,0.375993613460403,0.1629325527517148,0.17069757059448476,0.15214800896332928,0.1606328325802306,-0.20640687728688867,0.9157338161292992,0.9157671814436571,0.91576428086643,0.9157343482539516,-0.5266489593484905,0.8928016390857502,0.892649891441163,0.893144956576037,0.8928634243914828,-0.7118099828887329,0.7197187808404899,0.7244386839062305,0.7149324495044894,0.7188931132882155,-0.12689345436963567,0.904586532557553,0.9049796469998818,0.9045137656526011,0.9047079618888959,-0.5229440259475514
Najnizszy,0.9997866397112661,0.9997333910115656,1.0,0.9993874646318953,-0.5000052267818434,0.9755723737208527,0.9755191384350521,0.9759384584656164,0.9757188756261976,0.5147417235219233,0.41799025756199637,0.4257479781992419,0.4103373502905476,0.4171798480439532,-0.11407398471432853,0.9581800574711165,0.9574115027174493,0.9586925282641966,0.9578564924117051,-0.4527706866211497,0.9716243487551023,0.9718601890842484,0.9713951821094513,0.9716190523505326,0.1919482720728172,0.7733606067652893,0.7733852723079435,0.7734614723329859,0.773478820544176,0.37220273143283045,0.1677705288199849,0.17515325413030863,0.15745436306594,0.1655268681211496,-0.2119935137344499,0.9150081376477692,0.9149545153946637,0.9151395762770357,0.9150269615052113,-0.5319553307436027,0.8924167003670908,0.8921985369423459,0.8928497672128524,0.8925001978220699,-0.7140207331439997,0.7211565327862294,0.7255327659243006,0.7166782538980918,0.7203052772670886,-0.13220734049851923,0.9055458243174218,0.9058072458314991,0.9055895659075165,0.9056538613378867,-0.527451754694329
Zamkniecie,0.9992321575643897,0.9994052086852412,0.9993874646318953,1.0,-0.49602509476621104,0.9750933727774374,0.9751691593646596,0.975434460671859,0.9753791472410498,0.5146845759529456,0.4152984934396728,0.4232566141419109,0.4075551017537439,0.41466006159408375,-0.10923526539530079,0.9577056498005577,0.9571102997756687,0.9581908206106213,0.9575840803610289,-0.45118886345922127,0.9711048967285494,0.9714511825982568,0.9708219393414506,0.9712140661596185,0.1969323823865411,0.7733167991710355,0.7734083350944059,0.7733803652255373,0.7734965849529887,0.3751197984267084,0.16391150423314316,0.171683752314729,0.15347842493557395,0.16206823113293076,-0.20850066349134377,0.9151434426635764,0.9151856894494299,0.9152602420943002,0.9152638479497199,-0.5296283810368649,0.8923775507972074,0.8922325323201404,0.8927981028557458,0.8925525204868493,-0.713259534654805,0.7200698288206004,0.7247449218484628,0.7155171278558408,0.7194638138235923,-0.12889232687872698,0.9044940285119631,0.9048505100251171,0.9045003053781012,0.9047075857997477,-0.5251688090643652
Wolumen,-0.4946461119730294,-0.49125562985106663,-0.5000052267818434,-0.49602509476621104,1.0,-0.4609304348923947,-0.45884219514417063,-0.46418999539157424,-0.4617488821352346,-0.04716547897468274,-0.25678002694494456,-0.2550166625891703,-0.26036418422491375,-0.25754223227963213,0.4688255270913339,-0.4752043174390444,-0.47163852699266684,-0.47971174600620037,-0.47581769247085975,0.4668378001182248,-0.45761745439714524,-0.45543161020053907,-0.46180604830159255,-0.4590438616609826,0.2824185191919152,-0.2628876156569079,-0.26225827297114995,-0.2641709526035052,-0.2634258672101399,-0.20527608117133658,-0.131998531021954,-0.12729278888485127,-0.13914489797185536,-0.1338218452285181,0.38437933253880235,-0.3546503854798301,-0.35337450232676154,-0.3564295038647546,-0.35510021874074815,0.5494996594461741,-0.3393734891613412,-0.3382985669982513,-0.3409462798489212,-0.33984047558781094,0.5467783228787304,-0.5007204977721517,-0.496507661231322,-0.5043740500834268,-0.4998817025961783,0.32764902256590106,-0.3941283021856167,-0.3918710105665845,-0.3971950878164415,-0.3947397109729694,0.5607690707737414
Otwarcie_brk-a_us_d,0.9755274351653359,0.9754231593389324,0.9755723737208527,0.9750933727774374,-0.4609304348923947,1.0,0.9998517486139559,0.9998266936297314,0.9996854438094572,0.6032524294814532,0.49262787323224133,0.5004644404609839,0.4850920030089529,0.4920353205865783,-0.09835768491830717,0.9633679129906466,0.9631788965200371,0.963650646322406,0.9632336425530057,-0.4207845439945443,0.9788151093200281,0.9791088985626744,0.9782736939324689,0.9785660732638671,0.17649666401324074,0.8145760287520891,0.814660586023299,0.8145656279592646,0.8145502491436626,0.3186712270741755,0.20549303731431212,0.21270481542166655,0.1950961792959427,0.20318061927476833,-0.20594677410349377,0.9296217098969172,0.9295060590063362,0.9295877273381314,0.9294387078080527,-0.4926770587961508,0.9168766957116512,0.9165699602880212,0.9173965660804144,0.9168976007612348,-0.6725042464006686,0.6447960222172994,0.6494710612209978,0.6402568648523981,0.644111504711128,-0.10877713071069424,0.9491863602449522,0.9492752971699834,0.9490848256091233,0.9490210079735579,-0.5195493709558534
Najwyzszy_brk-a_us_d,0.9754838855056056,0.9754861409295749,0.9755191384350521,0.9751691593646596,-0.45884219514417063,0.9998517486139559,1.0,0.9997543633392768,0.9998276855886087,0.6053768549112961,0.4916988588175092,0.4997599574819734,0.48418456783667885,0.49136285981947286,-0.09427835109318256,0.9631850584482917,0.9631175348478607,0.9634641884298739,0.9631805469766492,-0.419161428082009,0.9786388213311699,0.9790776124623988,0.9781046976060582,0.9785360615826905,0.18104655253126012,0.8152564433238016,0.8153757273021036,0.815222483173977,0.815264023543382,0.3194523999992743,0.20348249549963962,0.21109882107536734,0.19313986404142003,0.20162355185786768,-0.20403459360837173,0.9302884927036904,0.930251859029707,0.9302431600621845,0.9301761705171882,-0.4902058496642573,0.9175989666068675,0.917362551199657,0.9181181972672364,0.9176928163443484,-0.6712029769872707,0.6430640636943891,0.6480259956504811,0.6385362432122599,0.6426491468504988,-0.10678504090684794,0.9490869195180358,0.9493366974922943,0.9490195435519928,0.9491054782310762,-0.5172173529813449
Najnizszy_brk-a_us_d,0.9757709915642443,0.9756593920000657,0.9759384584656164,0.975434460671859,-0.46418999539157424,0.9998266936297314,0.9997543633392768,1.0,0.9998393733923302,0.5991140767595006,0.4907277012593881,0.498599266766007,0.4834944472563159,0.4904370320507521,-0.10360848215030384,0.9632320580848647,0.963036803686383,0.9636550608269863,0.9632235569843868,-0.4229963835720664,0.9793609579797203,0.979662343606903,0.9790386657321936,0.9793037979857048,0.17068935958100678,0.8135462285055522,0.8136113915049507,0.8136194783633258,0.8136134215230939,0.31868676352234454,0.20566246770057464,0.21291828370201635,0.19576554237666827,0.20384521108164394,-0.2084741801925144,0.9291737719967318,0.9290384319016439,0.9292398166704284,0.9290791311956516,-0.49654946704250635,0.9160920994634296,0.9157852146144592,0.9167171291165571,0.916219941665158,-0.6751228728572273,0.6474312901856751,0.6521318258978952,0.6431693611388692,0.6470115781924846,-0.11129624916422647,0.9488783479703682,0.9490196568710416,0.9489683825028306,0.9489179937308111,-0.5224875288322229
Zamkniecie_brk-a_us_d,0.9755660864177961,0.9755593498127737,0.9757188756261976,0.9753791472410498,-0.4617488821352346,0.9996854438094572,0.9998276855886087,0.9998393733923302,1.0,0.6022047101277778,0.4911105358877877,0.49917487660842047,0.4838428743820878,0.4911068607927873,-0.09909387759814471,0.9631227706559208,0.9630398552365245,0.9635271995550865,0.9632879094086828,-0.4210577318151106,0.9789224142607804,0.979380438729585,0.9785945852545245,0.9790797018463251,0.17566649258571507,0.8143296207731909,0.814429473398398,0.8143820570992479,0.8144776994657188,0.3191934876297292,0.20436033783315066,0.21199709755563254,0.1944388690871897,0.20311465876038026,-0.20620042154457313,0.9296924318004973,0.9296538313227151,0.929752426454354,0.9297323235633429,-0.49368598623695753,0.9168578678345068,0.9166363753509832,0.9174802751695765,0.9171114289238973,-0.6733505729560609,0.6452291900651499,0.6501703525898965,0.6409461778658655,0.6451296757365718,-0.10929077361979292,0.9489513912339271,0.9492215754565513,0.9490460193123604,0.9491979845302525,-0.5199288220088263
Wolumen_brk-a_us_d,0.5157437512971387,0.5163487355695598,0.5147417235219233,0.5146845759529456,-0.04716547897468274,0.6032524294814532,0.6053768549112961,0.5991140767595006,0.6022047101277778,1.0,0.6131567329237929,0.6224687007882787,0.6042774656481403,0.6136041514283872,0.1705848223916649,0.5305299203915892,0.5325474567543425,0.5285335680172668,0.5307067545101875,-0.07653303062181721,0.5550062219855625,0.557769529673431,0.5515809407529171,0.5546683282742261,0.3274751660025322,0.6840404333748258,0.6863082112826226,0.6819529485082797,0.6837925640101012,0.04209635343489826,0.28447039898251375,0.29430864931116785,0.2746628644982511,0.2856953288849877,-0.03283619303556758,0.6355829271904556,0.6372087020585141,0.6345035728908447,0.6358485673284392,-0.04549696333518902,0.6906935949577674,0.6918434320727405,0.6901842234575485,0.6909936005724711,-0.15134428752983112,0.04948160521585458,0.05613822921207318,0.04372112307134574,0.04960083469847316,-0.002607092080160413,0.6864148605905797,0.6883679254671784,0.6846422602959491,0.6869508270451757,-0.11987323215103954
